AGS,GEN,BEZ,EWZ,KFL_km2,Turbine_Count,Total_Bruttoleistung_kW,Total_Nettoleistung_kW,Landkreis_Names,Steuerkraft,Einwohnerdichte,Waldflaeche_Prozent,Landwirtschaft_Prozent,Beschaeftigte_Primar,Beschaeftigte_Sekundar,Beschaeftigte_Tertiar,Wind_Density_kW_km2,Economic_Structure
01001,Flensburg,Kreisfreie Stadt,92667,56.73,25,69110,69110,Flensburg,1067.32995605469,1699.81994628906,7.40000009536743,19.8700008392334,0,15.400001525878906,84.5999984741211,1218.226687819496,Dienstleistungsorientiert
01002,Kiel,Kreisfreie Stadt,248873,118.65,1,75,75,Kiel,1165.18994140625,2121.80004882813,6.94000005722046,23.3500003814697,0,15.529998779296903,84.4700012207031,0.6321112515802781,Dienstleistungsorientiert
01003,Lübeck,Kreisfreie Stadt,219044,214.19,17,14650,14650,Lübeck,997.030029296875,1013.40002441406,15.4399995803833,30.1900005340576,0.100000001490116,23.5699996948242,76.3300018310547,68.39721742378262,Dienstleistungsorientiert
01004,Neumünster,Kreisfreie Stadt,80185,71.66,1,9.66,9.66,Neumünster,1103.26000976563,1108.85998535156,4.65999984741211,37.5800018310547,0.810000002384186,19.8099994659424,79.379997253418,0.1348032375104661,Dienstleistungsorientiert
01051,Dithmarschen,Kreis,135653,1428.18,886,2249044.64,2249044.64,Dithmarschen,1116.56005859375,93.4899978637695,3.8199999332428,75.1600036621094,4.09000015258789,24.8500003814697,71.0599975585938,1574.762732988839,Ländlich/Agrarisch
01053,Herzogtum Lauenburg,Kreis,204836,1263.05,65,105086,105086,Herzogtum Lauenburg,1001.05999755859,162.660003662109,26.2099990844727,56.4500007629395,1.54999995231628,26.3099994659424,72.1399993896484,83.20019001623055,Dienstleistungsorientiert
01054,Nordfriesland,Kreis,170007,2083.53,961,2426011.6,2426011.6,Nordfriesland,1308.03002929688,81.6100006103516,4.26000022888184,75.629997253418,2.29999995231628,18.1700000762939,79.5199966430664,1164.3756509385514,Dienstleistungsorientiert
01055,Ostholstein,Kreis,204275,1392.99,332,731612,731612,Ostholstein,1024.34997558594,144.669998168945,10.1700000762939,71.1800003051758,1.41999995708466,20.3400001525879,78.2399978637695,525.2098005010804,Dienstleistungsorientiert
01056,Pinneberg,Kreis,324018,664.27,16,30918,30918,Pinneberg,1284.61999511719,487.410003662109,8.84000015258789,60.7799987792969,2.23000001907349,27.3199996948242,70.4599990844727,46.544326855043884,Dienstleistungsorientiert
01057,Plön,Kreis,131370,1083.58,41,42770,42770,Plön,895.760009765625,120.559997558594,11.3999996185303,67.4599990844727,2.64000010490417,22.4799995422363,74.879997253418,39.471012754019085,Dienstleistungsorientiert
01058,Rendsburg-Eckernförde,Kreis,279864,2189.75,217,557461.9,557461.9,Rendsburg-Eckernförde,999.590026855469,126.900001525879,11.6999998092651,69.3199996948242,2.60999989509583,23.7800006866455,73.5999984741211,254.57787418655099,Dienstleistungsorientiert
01059,Schleswig-Flensburg,Kreis,206385,2071.33,491,1210615.7,1210615.7,Schleswig-Flensburg,1015.23999023438,98.8600006103516,7.1399998664856,73.7099990844727,2.94000005722046,22.8400001525879,74.2099990844727,584.4629778934308,Dienstleistungsorientiert
01060,Segeberg,Kreis,287175,1344.46,83,207258.3,207258.3,Segeberg,1203.93005371094,209.949996948242,17.3700008392334,64.370002746582,1.05999994277954,26.5699996948242,72.3600006103516,154.15728247772338,Dienstleistungsorientiert
01061,Steinburg,Kreis,133072,1055.7,320,808181.1,808181.1,Steinburg,1000.46002197266,125.459999084473,9.22999954223633,71.2900009155273,2.76999998092651,28.3199996948242,68.9000015258789,765.5404944586529,Dienstleistungsorientiert
01062,Stormarn,Kreis,248267,766.25,41,70182.5,70182.5,Stormarn,1395.68005371094,321.309997558594,13.9300003051758,64.5999984741211,0.949999988079071,29.6700000762939,69.370002746582,91.59216965742252,Dienstleistungsorientiert
02000,Hamburg,Kreisfreie Stadt,1910160,755.09,71,125499.8,125499.8,Hamburg,1977.88000488281,2452.14990234375,8.27999973297119,22.7900009155273,0.0799999982118607,15.6099996566772,84.3099975585938,166.2050881351892,Dienstleistungsorientiert
03101,Braunschweig,Kreisfreie Stadt,252066,192.7,5,7100,7100,Braunschweig,1273.06005859375,1315.66003417969,13.3900003433228,36.1300010681152,0.0500000007450581,20.6200008392334,79.3300018310547,36.84483653347172,Dienstleistungsorientiert
03102,Salzgitter,Kreisfreie Stadt,105039,224.49,66,146730,146730,Salzgitter,964.710021972656,467.980010986328,18.0499992370605,49.4599990844727,0.319999992847443,55.6699981689453,44,653.614860350127,Industriell
03103,Wolfsburg,Kreisfreie Stadt,127256,204.62,10,5216,5216,Wolfsburg,2168.169921875,632.130004882813,24.0300006866455,39.9599990844727,0,62,38,25.491154334864625,Industriell
03151,Gifhorn,Landkreis,180679,1567.57,95,236700,236700,Gifhorn,952.919982910156,112.199996948242,35,50.3600006103516,1.49000000953674,23.2900009155273,75.2200012207031,150.99804155476312,Dienstleistungsorientiert
03153,Goslar,Landkreis,134485,966.73,23,49582.5,49582.5,Goslar,922.97998046875,132.110000610352,58.2900009155273,27.7999992370605,0.5,25.7000007629395,73.8000030517578,51.28888107330899,Dienstleistungsorientiert
03154,Helmstedt,Landkreis,92123,676.12,64,120100,120100,Helmstedt,886.27001953125,134.139999389648,25.6900005340576,58.5499992370605,0,22.370002746582003,77.629997253418,177.6311897296338,Dienstleistungsorientiert
03155,Northeim,Landkreis,132939,1268.77,41,68100,68100,Northeim,882.630004882813,99.5500030517578,38.8899993896484,48.1100006103516,4.86999988555908,35.4300003051758,59.7000007629395,53.67403075419501,Industriell
03157,Peine,Landkreis,139170,536.5,100,220280,220280,Peine,846.409973144531,255.330001831055,10.5900001525879,67.9000015258789,0.889999985694885,31.0400009155273,68.0599975585938,410.5871388630009,Dienstleistungsorientiert
03158,Wolfenbüttel,Landkreis,120755,724.31,80,177540,177540,Wolfenbüttel,1048.63000488281,163.660003662109,19.4099998474121,67.0299987792969,1.39999997615814,23.2199993133545,75.379997253418,245.11604147395454,Dienstleistungsorientiert
03159,Göttingen,Landkreis,328952,1755.39,56,86950,86950,Göttingen,1040.32995605469,187.229995727539,42.4599990844727,42.0900001525879,0.550000011920929,22.0599994659424,77.4000015258789,49.53315217700909,Dienstleistungsorientiert
03241,Region Hannover,Landkreis,1177676,2297.13,259,440077.9,440077.9,Region Hannover,1406.18005371094,495.809997558594,20.3999996185303,51.3699989318848,0.239999994635582,19.6599998474121,80.0999984741211,191.57727250960983,Dienstleistungsorientiert
03251,Diepholz,Landkreis,223832,1991.05,407,841451.2,841451.2,Diepholz,1108.31005859375,110.870002746582,10.3199996948242,69.6800003051758,2.44000005722046,29.6599998474121,67.9000015258789,422.6168102257603,Dienstleistungsorientiert
03252,Hameln-Pyrmont,Landkreis,150377,797.52,77,169105.6,169105.6,Hameln-Pyrmont,914.460021972656,188.75,31.9200000762939,51.6500015258789,1.08000004291534,27.9799995422363,70.9400024414063,212.03932189788344,Dienstleistungsorientiert
03254,Hildesheim,Landkreis,278571,1208.33,82,150700.6,150700.6,Hildesheim,969.02001953125,222.059997558594,24.5599994659424,57.8800010681152,0.400000005960464,28.1499996185303,71.4499969482422,124.71808198091583,Dienstleistungsorientiert
03255,Holzminden,Landkreis,70706,694.25,39,51250,51250,Holzminden,963.909973144531,95.1900024414063,46.3400001525879,41.2400016784668,0.75,46.4900016784668,52.7599983215332,73.82066978754051,Industriell
03256,Nienburg (Weser),Landkreis,123888,1400.8,225,402995.9,402995.9,Nienburg (Weser),948.669982910156,86.8899993896484,19.4500007629395,63.0200004577637,2.26999998092651,33.1500015258789,64.5899963378906,287.6898201027984,Ausgeglichen
03257,Schaumburg,Landkreis,160236,675.67,40,43250,43250,Schaumburg,862.330017089844,232.440002441406,26.1599998474121,53.189998626709,0.740000009536743,27.0200004577637,72.2399978637695,64.01053768851659,Dienstleistungsorientiert
03351,Celle,Landkreis,182352,1550.82,98,164300,164300,Celle,959.820007324219,111.470001220703,46.5,36.7900009155273,1.51999998092651,29.4699993133545,69.0100021362305,105.94395223172258,Dienstleistungsorientiert
03352,Cuxhaven,Landkreis,201838,2058.96,524,808131.2,808131.2,Cuxhaven,894.190002441406,96.8399963378906,9.5600004196167,71.8399963378906,3.60999989509583,26.1499996185303,70.2399978637695,392.4948517698255,Ländlich/Agrarisch
03353,Harburg,Landkreis,263616,1248.47,109,238504.5,238504.5,Harburg,1078.38000488281,212.080001831055,28.3199996948242,50.1699981689453,2.03999996185303,20.2399997711182,77.7200012207031,191.03742981409243,Dienstleistungsorientiert
03354,Lüchow-Dannenberg,Landkreis,49209,1227.33,71,102200,102200,Lüchow-Dannenberg,740.030029296875,38.1399993896484,37.8199996948242,50.5699996948242,3.92000007629395,28.8199996948242,67.2600021362305,83.27018813196125,Ländlich/Agrarisch
03355,Lüneburg,Landkreis,188859,1327.84,115,265540,265540,Lüneburg,995.590026855469,135.110000610352,33.560001373291,50.7400016784668,1.79999995231628,22.3199996948242,75.879997253418,199.97891312206292,Dienstleistungsorientiert
03356,Osterholz,Landkreis,116487,652.67,80,135440,135440,Osterholz,920.989990234375,174.339996337891,13.9399995803833,64.6800003051758,1.83000004291534,24.7600002288818,73.4100036621094,207.51681554231084,Dienstleistungsorientiert
03357,Rotenburg (Wümme),Landkreis,168454,2074.75,241,546505.6,546505.6,Rotenburg (Wümme),997.010009765625,79.8000030517578,17.75,65.8199996948242,2.61999988555908,25.3099994659424,72.0800018310547,263.40792866610434,Dienstleistungsorientiert
03358,Heidekreis,Landkreis,143220,1881.46,167,358350.6,358350.6,Heidekreis,930.580017089844,75.2799987792969,41.7400016784668,39.1800003051758,2,23.5799999237061,74.4300003051758,190.4641076610717,Dienstleistungsorientiert
03359,Stade,Landkreis,211467,1267.4,211,458165.2,458165.2,Stade,1061.90002441406,163.850006103516,7.46000003814697,69.7300033569336,2.86999988555908,27.9300003051758,69.1999969482422,361.5000789016885,Dienstleistungsorientiert
03360,Uelzen,Landkreis,95088,1462.61,140,370810,370810,Uelzen,918.950012207031,62.7900009155273,36.3600006103516,52.4799995422363,2.70000004768372,23.0400009155273,74.25,253.52623050573976,Dienstleistungsorientiert
03361,Verden,Landkreis,141349,789.33,93,202583.5,202583.5,Verden,1189.21997070313,175.179992675781,13.710000038147,66.620002746582,1.87999999523163,29.2999992370605,68.8199996948242,256.65247741755667,Dienstleistungsorientiert
03401,Delmenhorst,Kreisfreie Stadt,78979,62.45,8,17850,17850,Delmenhorst,714.320007324219,1308.97998046875,3.71000003814697,44.439998626709,0.25,23.1499996185303,76.5999984741211,285.82866293034425,Dienstleistungsorientiert
03402,Emden,Kreisfreie Stadt,50659,112.34,84,193510,193510,Emden,1295.59997558594,442.420013427734,2.32999992370605,59.9300003051758,0.129999995231628,40.0299987792969,59.8400001525879,1722.5387217375824,Industriell
03403,Oldenburg (Oldb),Kreisfreie Stadt,174629,103.09,8,15800,15800,Oldenburg (Oldb),1190.21997070313,1709.58996582031,7.15000009536743,28.0400009155273,0.0799999982118607,12.710000038147,87.2099990844727,153.26413813172954,Dienstleistungsorientiert
03404,Osnabrück,Kreisfreie Stadt,166960,119.8,6,10200,10200,Osnabrück,1158.27001953125,1383.02001953125,17.25,30.0400009155273,0.0399999991059303,18.1100006103516,81.8499984741211,85.14190317195326,Dienstleistungsorientiert
03405,Wilhelmshaven,Kreisfreie Stadt,76247,107.11,46,101359.6,101359.6,Wilhelmshaven,859.710021972656,709.640014648438,10.3000001907349,38.3300018310547,0.0500000007450581,21.6000003814697,78.3499984741211,946.3131360283821,Dienstleistungsorientiert
03451,Ammerland,Landkreis,129108,730.65,59,88545,88545,Ammerland,1051.90002441406,174.220001220703,10.9399995803833,67.4899978637695,5.61999988555908,29.2199993133545,65.1600036621094,121.18661465818107,Ländlich/Agrarisch
03452,Aurich,Landkreis,192608,1287.36,637,1060749.9,1060749.9,Aurich,942.25,146.779998779297,4.55999994277954,72.0699996948242,1.76999998092651,22.7299995422363,75.5,823.973014541387,Dienstleistungsorientiert
03453,Cloppenburg,Landkreis,178564,1420.35,269,490531.3,490531.3,Cloppenburg,1069.97998046875,124.290000915527,14.1499996185303,66.5800018310547,3.82999992370605,43.9799995422363,52.2000007629395,345.3594536557891,Industriell
03454,Emsland,Landkreis,340280,2883.66,505,1135044.2,1135044.2,Emsland,1176.10998535156,115.900001525879,19.1000003814697,59.9599990844727,1.9099999666214,40.9900016784668,57.0999984741211,393.61235374489365,Industriell
03455,Friesland,Landkreis,100630,609.54,194,333302.9,333302.9,Friesland,854.210021972656,164.820007324219,7.48999977111816,71.879997253418,1.73000001907349,22.8500003814697,75.4199981689453,546.810545657381,Dienstleistungsorientiert
03456,Grafschaft Bentheim,Landkreis,141946,981.79,90,194619.8,194619.8,Grafschaft Bentheim,993.840026855469,146.889999389648,17.1900005340576,62.6699981689453,1.75999999046326,35.9099998474121,62.3300018310547,198.22956029293434,Industriell
03457,Leer,Landkreis,173924,1085.71,114,229434,229434,Leer,826.590026855469,155.759994506836,3.47000002861023,70.5699996948242,1.72000002861023,22.1599998474121,76.120002746582,211.32162363798804,Dienstleistungsorientiert
03458,Oldenburg,Landkreis,134621,1064.84,120,319130,319130,Oldenburg,1089.52001953125,123.930000305176,19.7700004577637,63.2299995422363,2.8199999332428,34.6199989318848,62.560001373291,299.6976071522482,Ausgeglichen
03459,Osnabrück,Landkreis,366229,2121.79,212,497464,497464,Osnabrück,1044.90002441406,167.869995117188,20.5300006866455,61.3499984741211,1.82000005245209,39,59.1800003051758,234.45487065166677,Industriell
03460,Vechta,Landkreis,147751,814.21,73,167110,167110,Vechta,1310.69995117188,179.809997558594,13.9399995803833,64.5500030517578,3.47000002861023,42.6199989318848,53.9000015258789,205.2418909126638,Industriell
03461,Wesermarsch,Landkreis,89761,824.78,198,418977.5,418977.5,Wesermarsch,959.489990234375,108.290000915527,2.10999989509583,79.5,1.80999994277954,43.6699981689453,54.5200004577637,507.9869783457407,Industriell
03462,Wittmund,Landkreis,58396,656.84,188,366467.8,366467.8,Wittmund,989.950012207031,85.2699966430664,6.26000022888184,75.1699981689453,2.60999989509583,20.9500007629395,76.4400024414063,557.9255221971865,Dienstleistungsorientiert
