AGS,Turbine_Count,Total_Bruttoleistung_kW,Total_Nettoleistung_kW,Landkreis_Names
01001,25,69110,69110,Flensburg
01002,1,75,75,Kiel
01003,17,14650,14650,Lübeck
01004,1,9.66,9.66,Neumünster
01051,886,2249044.64,2249044.64,Dithmarschen
01053,65,105086,105086,Herzogtum Lauenburg
01054,961,2426011.6,2426011.6,Nordfriesland
01055,332,731612,731612,Ostholstein
01056,16,30918,30918,Pinneberg
01057,41,42770,42770,Plön
01058,217,557461.9,557461.9,Rendsburg-Eckernförde
01059,491,1210615.7,1210615.7,Schleswig-Flensburg
01060,83,207258.3,207258.3,Segeberg
01061,320,808181.1,808181.1,Steinburg
01062,41,70182.5,70182.5,Stormarn
02000,71,125499.8,125499.8,Hamburg
03101,5,7100,7100,Braunschweig
03102,66,146730,146730,Salzgitter
03103,10,5216,5216,Wolfsburg
03151,95,236700,236700,Gifhorn
03152,10,27050,27050,Göttingen
03153,23,49582.5,49582.5,Goslar
03154,64,120100,120100,Helmstedt
03155,41,68100,68100,Northeim
03157,100,220280,220280,Peine
03158,80,177540,177540,Wolfenbüttel
03159,56,86950,86950,Göttingen
03241,259,440077.9,440077.9,Region Hannover
03251,407,841451.2,841451.2,Diepholz
03252,77,169105.6,169105.6,Hameln-Pyrmont
03254,82,150700.6,150700.6,Hildesheim
03255,39,51250,51250,Holzminden
03256,225,402995.9,402995.9,Nienburg (Weser)
03257,40,43250,43250,Schaumburg
03351,98,164300,164300,Celle
03352,524,808131.2,808131.2,Cuxhaven
03353,109,238504.5,238504.5,Harburg
03354,71,102200,102200,Lüchow-Dannenberg
03355,115,265540,265540,Lüneburg
03356,80,135440,135440,Osterholz
03357,241,546505.6,546505.6,Rotenburg (Wümme)
03358,167,358350.6,358350.6,Heidekreis
03359,211,458165.2,458165.2,Stade
03360,140,370810,370810,Uelzen
03361,93,202583.5,202583.5,Verden
03401,8,17850,17850,Delmenhorst
03402,84,193510,193510,Emden
03403,8,15800,15800,Oldenburg (Oldb)
03404,6,10200,10200,Osnabrück
03405,46,101359.6,101359.6,Wilhelmshaven
03451,59,88545,88545,Ammerland
03452,637,1060749.9,1060749.9,Aurich
03453,269,490531.3,490531.3,Cloppenburg
03454,505,1135044.2,1135044.2,Emsland
03455,194,333302.9,333302.9,Friesland
03456,90,194619.8,194619.8,Grafschaft Bentheim
03457,114,229434,229434,Leer
03458,120,319130,319130,Oldenburg
03459,212,497464,497464,Osnabrück
03460,73,167110,167110,Vechta
03461,198,418977.5,418977.5,Wesermarsch
03462,188,366467.8,366467.8,Wittmund
04011,73,135774,135774,Bremen
04012,19,66240,66240,Bremerhaven
05112,1,2300,2300,Duisburg
05114,17,20151,20151,Krefeld
05116,18,42509.9,42509.9,Mönchengladbach
05119,1,1,1,Oberhausen
05120,2,1505.5,1505.5,Remscheid
05122,2,4600,4600,Solingen
05124,8,9402,9402,Wuppertal
05154,207,372746.3,372746.3,Kleve
05158,5,2835,2835,Mettmann
05162,96,246621.5,246621.5,Rhein-Kreis Neuss
05166,34,61682.5,61682.5,Viersen
05170,63,126056,126056,Wesel
05315,7,16550,16550,Köln
05334,104,235513,235513,Städteregion Aachen
05358,193,453140.5,453140.5,Düren
05362,40,77916,77916,Rhein-Erft-Kreis
05366,121,241165,241165,Euskirchen
05370,128,281040,281040,Heinsberg
05374,19,19900,19900,Oberbergischer Kreis
05378,2,275.6,275.6,Rheinisch-Bergischer Kreis
05382,5,3209.5,3209.5,Rhein-Sieg-Kreis
05512,9,16170,16170,Bottrop
05513,2,4600,4600,Gelsenkirchen
05515,47,98550,98550,Münster
05554,311,642135.3,642135.3,Borken
05558,116,266230,266230,Coesfeld
05562,71,169632,169632,Recklinghausen
05566,298,577348.5,577348.5,Steinfurt
05570,179,302755,302755,Warendorf
05711,7,15300,15300,Bielefeld
05754,49,99176,99176,Gütersloh
05758,26,36024.5,36024.5,Herford
05762,371,658120.3,658120.3,Höxter
05766,102,166477.5,166477.5,Lippe
05770,75,67943.6,67943.6,Minden-Lübbecke
05774,485,1098587.4,1098587.4,Paderborn
05913,8,12300,12300,Dortmund
05914,13,18200,18200,Hagen
05915,31,50108.5,50108.5,Hamm
05954,9,5642.5,5642.5,Ennepe-Ruhr-Kreis
05958,85,195300.5,195300.5,Hochsauerlandkreis
05962,30,34910,34910,Märkischer Kreis
05966,22,25600.9,25600.9,Olpe
05970,39,89158.6,89158.6,Siegen-Wittgenstein
05974,229,249656.1,249656.1,Soest
05978,46,53000,53000,Unna
06414,1,800,800,Wiesbaden
06431,15,48750,48750,Bergstraße
06432,15,25367,25367,Darmstadt-Dieburg
06434,13,33480,33480,Hochtaunuskreis
06435,113,298835,298835,Main-Kinzig-Kreis
06437,17,45625,45625,Odenwaldkreis
06439,25,62250,62250,Rheingau-Taunus-Kreis
06440,29,45800,45800,Wetteraukreis
06531,19,49420,49420,Gießen
06532,68,149237.25,149237.25,Lahn-Dill-Kreis
06533,42,99810.3,99810.3,Limburg-Weilburg
06534,93,211160,211160,Marburg-Biedenkopf
06535,263,493859.8,493859.8,Vogelsbergkreis
06611,4,7150,7150,Kassel
06631,24,61242,61242,Fulda
06632,81,233940,233940,Hersfeld-Rotenburg
06633,137,216734,216734,Kassel
06634,44,97002,97002,Schwalm-Eder-Kreis
06635,140,223511.18,223511.18,Waldeck-Frankenberg
06636,39,103458.5,103458.5,Werra-Meißner-Kreis
07111,2,2,2,Koblenz
07131,10,15690,15690,Ahrweiler
07132,8,19300,19300,Altenkirchen (Westerwald)
07133,66,162530,162530,Bad Kreuznach
07134,74,153274.1,153274.1,Birkenfeld
07135,80,150090,150090,Cochem-Zell
07137,26,58282,58282,Mayen-Koblenz
07138,2,6.6,6.6,Neuwied
07140,281,733205,733205,Rhein-Hunsrück-Kreis
07141,15,10979.8,10979.8,Rhein-Lahn-Kreis
07143,101,165650,165650,Westerwaldkreis
07231,66,207054,207054,Bernkastel-Wittlich
07232,273,464968.1,464968.1,Eifelkreis Bitburg-Prüm
07233,109,180750,180750,Vulkaneifel
07235,93,193400,193400,Trier-Saarburg
07315,8,15900,15900,Mainz
07316,2,3000,3000,Neustadt an der Weinstraße
07317,2,6600,6600,Pirmasens
07319,11,27000,27000,Worms
07331,167,443870,443870,Alzey-Worms
07332,12,27010,27010,Bad Dürkheim
07333,99,293095,293095,Donnersbergkreis
07334,30,75200,75200,Germersheim
07335,51,107275,107275,Kaiserslautern
07336,65,168515,168515,Kusel
07337,20,46530,46530,Südliche Weinstraße
07338,19,40100,40100,Rhein-Pfalz-Kreis
07339,62,119321.3,119321.3,Mainz-Bingen
07340,47,116860,116860,Südwestpfalz
08111,1,0.6,0.6,Stuttgart
08116,5,2252.5,2252.5,Esslingen
08117,54,118870,118870,Göppingen
08118,6,3004.5,3004.5,Ludwigsburg
08119,9,21711,21711,Rems-Murr-Kreis
08125,25,72205.5,72205.5,Heilbronn
