AGS,Windgeschwindigkeit_ms
01001,8.83
01002,8.47
01003,8.19
01004,8.49
01051,9.27
01053,8.18
01054,9.52
01055,8.73
01056,8.49
01057,8.79
01058,8.86
01059,9.13
01060,8.49
01061,8.82
01062,8.28
02000,7.98
03101,7.75
03102,7.99
03103,7.96
03151,7.77
03153,7.65
03154,7.83
03155,6.76
03157,8.21
03158,7.74
03159,6.73
03241,7.93
03251,8.47
03252,7.47
03254,7.78
03255,7.3
03256,8.23
03257,8.02
03351,7.49
03352,8.86
03353,8.06
03354,7.78
03355,7.94
03356,8.51
03357,8.36
03358,7.81
03359,8.69
03360,7.85
03361,8.34
03401,8.32
03402,9.11
03403,8.24
03404,7.85
03405,8.97
03451,8.64
03452,9.14
03453,8.44
03454,8.38
03455,9.06
03456,8.37
03457,9.03
03458,8.35
03459,8.11
03460,8.29
03461,9.07
03462,9.16
04011,8.34
04012,8.81
05111,7.24
05112,7.58
05113,7.5
05114,7.72
05116,7.75
05117,7.4
05119,7.29
05120,7.45
05122,7.03
05124,7.54
05154,8.21
05158,7.48
05162,7.6
05166,7.82
05170,8.04
05314,6.57
05315,6.67
05316,6.76
05334,8.05
05358,7.69
05362,7.29
05366,7.73
05370,7.95
05374,7.26
05378,6.99
05382,6.88
05512,7.35
05513,7.14
05515,7.77
05554,8.2
05558,7.95
05562,7.35
05566,8.1
05570,7.93
05711,7.44
05754,7.61
05758,7.85
05762,7.3
05766,7.71
05770,8.14
05774,7.91
05911,7.4
05913,7.31
05914,7.48
05915,7.61
05916,7.15
05954,7.83
05958,7.59
05962,7.59
05966,6.99
05970,6.8
05974,7.99
05978,7.62
06411,6.19
06412,5.68
06413,5.64
06414,5.6
06431,6.05
06432,6.42
06433,5.99
06434,6.48
06435,6.28
06436,5.81
06437,6.47
06438,5.89
06439,6.39
06440,6.21
06531,6.26
06532,6.34
06533,6.1
06534,6.27
06535,7.12
06611,6.3
06631,6.9
06632,6.59
06633,6.86
06634,6.75
06635,6.83
06636,6.94
07111,6.1
07131,6.93
07132,6.92
07133,6.26
07134,6.67
07135,6.51
07137,6.51
07138,6.4
07140,7.12
07141,6.38
07143,7.08
07211,5.95
07231,6.53
07232,6.99
07233,7.21
07235,6.65
07311,5.97
07312,5.99
07313,6.45
07314,5.89
07315,6.02
07316,6.05
07317,6.91
07318,6.01
07319,6.31
07320,6.93
07331,6.78
07332,6.17
07333,6.8
07334,6.14
07335,6.42
07336,6.53
07337,6.33
07338,5.98
07339,6.37
07340,6.38
08111,5.62
08115,5.94
08116,5.74
08117,6.52
08118,5.95
08119,5.81
08121,5.92
08125,6.18
08126,6.67
08127,6.79
08128,6.7
08135,6.29
