AGS,Jahr,Anlagen_kumuliert,Nettoleistung_kW_kumuliert,Wind_Density_kW_km2_kumuliert
01001,1960,0,0,0
01001,1961,0,0,0
01001,1962,0,0,0
01001,1963,0,0,0
01001,1964,0,0,0
01001,1965,0,0,0
01001,1966,0,0,0
01001,1967,0,0,0
01001,1968,0,0,0
01001,1969,0,0,0
01001,1970,0,0,0
01001,1971,0,0,0
01001,1972,0,0,0
01001,1973,0,0,0
01001,1974,0,0,0
01001,1975,0,0,0
01001,1976,0,0,0
01001,1977,0,0,0
01001,1978,0,0,0
01001,1979,0,0,0
01001,1980,0,0,0
01001,1981,0,0,0
01001,1982,0,0,0
01001,1983,0,0,0
01001,1984,0,0,0
01001,1985,0,0,0
01001,1986,0,0,0
01001,1987,0,0,0
01001,1988,0,0,0
01001,1989,0,0,0
01001,1990,0,0,0
01001,1991,0,0,0
01001,1992,0,0,0
01001,1993,1,100,1.7627357659086904
01001,1994,1,100,1.7627357659086904
01001,1995,1,100,1.7627357659086904
01001,1996,2,300,5.288207297726071
01001,1997,2,300,5.288207297726071
01001,1998,2,300,5.288207297726071
01001,1999,2,300,5.288207297726071
01001,2000,2,300,5.288207297726071
01001,2001,2,300,5.288207297726071
01001,2002,2,300,5.288207297726071
01001,2003,2,300,5.288207297726071
01001,2004,2,300,5.288207297726071
01001,2005,2,300,5.288207297726071
01001,2006,2,300,5.288207297726071
01001,2007,2,300,5.288207297726071
01001,2008,2,300,5.288207297726071
01001,2009,2,300,5.288207297726071
01001,2010,2,300,5.288207297726071
01001,2011,2,300,5.288207297726071
01001,2012,14,27900,491.80327868852464
01001,2013,14,27900,491.80327868852464
01001,2014,16,34240,603.5607262471356
01001,2015,18,39710,699.9823726423409
01001,2016,18,39710,699.9823726423409
01001,2017,18,39710,699.9823726423409
01001,2018,18,39710,699.9823726423409
01001,2019,18,39710,699.9823726423409
01001,2020,18,39710,699.9823726423409
01001,2021,18,39710,699.9823726423409
01001,2022,19,43910,774.0172748105059
01001,2023,25,69110,1218.226687819496
01002,1960,0,0,0
01002,1961,0,0,0
01002,1962,0,0,0
01002,1963,0,0,0
01002,1964,0,0,0
01002,1965,0,0,0
01002,1966,0,0,0
01002,1967,0,0,0
01002,1968,0,0,0
01002,1969,0,0,0
01002,1970,0,0,0
01002,1971,0,0,0
01002,1972,0,0,0
01002,1973,0,0,0
01002,1974,0,0,0
01002,1975,0,0,0
01002,1976,0,0,0
01002,1977,0,0,0
01002,1978,0,0,0
01002,1979,0,0,0
01002,1980,0,0,0
01002,1981,0,0,0
01002,1982,0,0,0
01002,1983,0,0,0
01002,1984,0,0,0
01002,1985,0,0,0
01002,1986,0,0,0
01002,1987,0,0,0
01002,1988,0,0,0
01002,1989,0,0,0
01002,1990,1,75,0.6321112515802781
01002,1991,1,75,0.6321112515802781
01002,1992,1,75,0.6321112515802781
01002,1993,1,75,0.6321112515802781
01002,1994,1,75,0.6321112515802781
01002,1995,1,75,0.6321112515802781
01002,1996,1,75,0.6321112515802781
01002,1997,1,75,0.6321112515802781
01002,1998,1,75,0.6321112515802781
01002,1999,1,75,0.6321112515802781
01002,2000,1,75,0.6321112515802781
01002,2001,1,75,0.6321112515802781
01002,2002,1,75,0.6321112515802781
01002,2003,1,75,0.6321112515802781
01002,2004,1,75,0.6321112515802781
01002,2005,1,75,0.6321112515802781
01002,2006,1,75,0.6321112515802781
01002,2007,1,75,0.6321112515802781
01002,2008,1,75,0.6321112515802781
01002,2009,1,75,0.6321112515802781
01002,2010,1,75,0.6321112515802781
01002,2011,1,75,0.6321112515802781
01002,2012,1,75,0.6321112515802781
01002,2013,1,75,0.6321112515802781
01002,2014,1,75,0.6321112515802781
01002,2015,1,75,0.6321112515802781
01002,2016,1,75,0.6321112515802781
01002,2017,1,75,0.6321112515802781
01002,2018,1,75,0.6321112515802781
01002,2019,1,75,0.6321112515802781
01002,2020,1,75,0.6321112515802781
01002,2021,1,75,0.6321112515802781
01002,2022,1,75,0.6321112515802781
01002,2023,1,75,0.6321112515802781
01003,1960,0,0,0
01003,1961,0,0,0
01003,1962,0,0,0
01003,1963,0,0,0
01003,1964,0,0,0
01003,1965,0,0,0
01003,1966,0,0,0
01003,1967,0,0,0
01003,1968,0,0,0
01003,1969,0,0,0
01003,1970,0,0,0
01003,1971,0,0,0
01003,1972,0,0,0
01003,1973,0,0,0
01003,1974,0,0,0
01003,1975,0,0,0
01003,1976,0,0,0
01003,1977,0,0,0
01003,1978,0,0,0
01003,1979,0,0,0
01003,1980,0,0,0
01003,1981,0,0,0
01003,1982,0,0,0
01003,1983,0,0,0
01003,1984,0,0,0
01003,1985,0,0,0
01003,1986,0,0,0
01003,1987,0,0,0
01003,1988,0,0,0
01003,1989,0,0,0
01003,1990,0,0,0
01003,1991,0,0,0
01003,1992,0,0,0
01003,1993,0,0,0
01003,1994,0,0,0
01003,1995,0,0,0
01003,1996,14,8400,39.21751715766376
01003,1997,14,8400,39.21751715766376
01003,1998,14,8400,39.21751715766376
01003,1999,14,8400,39.21751715766376
01003,2000,14,8400,39.21751715766376
01003,2001,14,8400,39.21751715766376
01003,2002,15,10050,46.920958027919134
01003,2003,15,10050,46.920958027919134
01003,2004,15,10050,46.920958027919134
01003,2005,15,10050,46.920958027919134
01003,2006,15,10050,46.920958027919134
01003,2007,15,10050,46.920958027919134
01003,2008,15,10050,46.920958027919134
01003,2009,15,10050,46.920958027919134
01003,2010,15,10050,46.920958027919134
01003,2011,15,10050,46.920958027919134
01003,2012,17,14650,68.39721742378262
01003,2013,17,14650,68.39721742378262
01003,2014,17,14650,68.39721742378262
01003,2015,17,14650,68.39721742378262
01003,2016,17,14650,68.39721742378262
01003,2017,17,14650,68.39721742378262
01003,2018,17,14650,68.39721742378262
01003,2019,17,14650,68.39721742378262
01003,2020,17,14650,68.39721742378262
01003,2021,17,14650,68.39721742378262
01003,2022,17,14650,68.39721742378262
01003,2023,17,14650,68.39721742378262
01004,1960,0,0,0
01004,1961,0,0,0
01004,1962,0,0,0
01004,1963,0,0,0
01004,1964,0,0,0
01004,1965,0,0,0
01004,1966,0,0,0
01004,1967,0,0,0
01004,1968,0,0,0
01004,1969,0,0,0
01004,1970,0,0,0
01004,1971,0,0,0
01004,1972,0,0,0
01004,1973,0,0,0
01004,1974,0,0,0
01004,1975,0,0,0
01004,1976,0,0,0
