EinheitMastrNummer,Gemeindeschluessel,Landkreis,Gemeinde,Laengengrad,Breitengrad,Inbetriebnahmedatum,EinheitBetriebsstatus,Bruttoleistung,Nettonennleistung,Lage
SEE940146675093,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.739374,51.270068,2017-09-01,35,3000.000,3000.000,888
SEE973767078653,01060017,Segeberg,Damsdorf,10.299400,54.073831,2017-09-28,35,3000.000,3000.000,888
SEE914108319653,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.733069,51.272164,2017-09-04,35,3000.000,3000.000,888
SEE982417853618,06636200,Werra-Meißner-Kreis,Gutsbezirk Kaufunger Wald,9.748361,51.270462,2017-08-31,35,3000.000,3000.000,888
SEE913741454097,05370016,Heinsberg,Heinsberg,6.045546,51.029548,2017-01-11,35,2400.000,2400.000,888
SEE900290686291,01051062,Dithmarschen,Kronprinzenkoog,8.971423,53.953022,2016-03-24,35,2350.000,2350.000,888
SEE901069753206,06432010,Darmstadt-Dieburg,Groß-Umstadt,8.977337,49.876166,1999-10-29,35,1000.000,1000.000,888
SEE978389475514,07135043,Cochem-Zell,Kaifenheim,7.239221,50.252081,2016-03-14,35,3300.000,3300.000,888
SEE975973981666,09575152,Neustadt a.d. Aisch-Bad Windsheim,Neuhof a.d. Zenn,10.660917,49.432306,2016-10-18,35,3300.000,3300.000,888
SEE987713232792,06635011,Waldeck-Frankenberg,Frankenberg (Eder),8.877135,51.050636,1997-12-15,35,600.000,600.000,888
SEE906295197954,01054120,Nordfriesland,Simonsberg,8.984462,54.441860,2012-09-04,35,3075.000,3075.000,888
SEE959128063063,05774012,Paderborn,Borchen,8.792204,51.622425,2018-08-24,35,3000.000,3000.000,888
SEE923802377883,08326005,Schwarzwald-Baar-Kreis,Blumberg,8.592151,47.881949,,31,5700.000,5700.000,888
SEE949984955732,05970028,Siegen-Wittgenstein,Bad Laasphe,8.380022,50.890265,2013-09-09,35,3075.000,3075.000,888
SEE954944337220,01057041,Plön,Krummbek,10.404352,54.359746,2001-01-01,35,1750.000,1750.000,888
SEE950179793688,08326005,Schwarzwald-Baar-Kreis,Blumberg,8.597642,47.880898,,31,5700.000,5700.000,888
SEE948219812307,13075155,Vorpommern-Greifswald,Neetzow-Liepen,13.426895,53.883993,2013-06-13,35,3050.000,3050.000,888
SEE969490244571,01057041,Plön,Krummbek,10.402225,54.357637,2000-12-01,35,1750.000,1750.000,888
SEE922570521054,01057041,Plön,Krummbek,10.405882,54.355883,2006-12-30,35,2000.000,2000.000,888
SEE975554042434,03152003,Göttingen,Bodensee,10.153584,51.612171,2018-12-05,35,3600.000,3600.000,888
SEE990997372290,09679131,Würzburg,Frickenhausen a. Main,10.033514,49.605700,2014-12-10,35,2000.000,2000.000,888
SEE926034105682,08326005,Schwarzwald-Baar-Kreis,Blumberg,8.604953,47.881193,,31,5700.000,5700.000,888
SEE971087087461,08326027,Schwarzwald-Baar-Kreis,Hüfingen,8.599871,47.890047,,31,5700.000,5700.000,888
SEE910634021237,08326012,Schwarzwald-Baar-Kreis,Donaueschingen,8.607230,47.890135,,31,5700.000,5700.000,888
SEE993918975099,08326012,Schwarzwald-Baar-Kreis,Donaueschingen,8.614181,47.889817,,31,5700.000,5700.000,888
SEE900136703434,05566080,Steinfurt,Saerbeck,7.614904,52.204128,2013-11-28,35,3050.000,3050.000,888
SEE975697581166,05566080,Steinfurt,Saerbeck,7.617248,52.201597,2013-11-12,35,3050.000,3050.000,888
SEE964274163000,08317051,Ortenaukreis,Hornberg,8.255743,48.233353,2002-12-20,35,1000.000,1000.000,888
SEE901944891672,05554004,Borken,Ahaus,6.990278,52.109722,1998-05-13,35,600.000,600.000,888
SEE962097502426,07143225,Westerwaldkreis,Giesenhausen,7.725945,50.694000,1994-11-29,35,250.000,250.000,888
SEE913476607737,03151019,Gifhorn,Obernholz,10.591174,52.749314,2000-03-01,35,600.000,600.000,888
SEE901953720864,07232065,Eifelkreis Bitburg-Prüm,Kaschenbach,6.313417,49.513993,2013-08-29,35,2000.000,2000.000,888
SEE946913378938,01055036,Ostholstein,Riepsdorf,10.943881,54.236897,2000-08-03,38,660.000,660.000,888
SEE936077126704,01055036,Ostholstein,Riepsdorf,10.945197,54.234600,2000-08-04,38,660.000,660.000,888
SEE976480356336,01055036,Ostholstein,Riepsdorf,10.946528,54.232303,2000-08-03,38,660.000,660.000,888
SEE917334783236,01055036,Ostholstein,Riepsdorf,10.948439,54.230136,2000-08-09,38,660.000,660.000,888
SEE949293116329,01055036,Ostholstein,Riepsdorf,10.953019,54.228461,2000-08-07,38,660.000,660.000,888
SEE905630482274,15083298,Börde,Hohe Börde,11.465000,52.176389,2010-12-16,35,2500.000,2500.000,888
SEE909799533297,03452019,Aurich,Norden,7.099000,53.575000,1993-10-04,35,300.000,300.000,888
SEE982499303742,01054002,Nordfriesland,Ahrenshöft,,,2012-01-03,35,6.000,6.000,888
SEE937863584876,01055046,Ostholstein,Fehmarn,11.102845,54.491497,2006-10-12,35,2300.000,2300.000,888
SEE931794674651,03402000,Emden,Emden,7.266000,53.380000,1995-03-23,35,510.000,510.000,888
SEE987638635142,01055036,Ostholstein,Riepsdorf,10.953326,54.224462,2000-06-30,35,660.000,660.000,888
SEE922793604978,01055036,Ostholstein,Riepsdorf,10.956545,54.220222,2000-06-30,35,660.000,660.000,888
SEE999659874554,01055036,Ostholstein,Riepsdorf,10.965686,54.215066,2000-06-23,35,660.000,660.000,888
SEE950785031617,01055036,Ostholstein,Riepsdorf,10.970278,54.212820,2000-06-22,35,660.000,660.000,888
SEE917342732226,01055036,Ostholstein,Riepsdorf,10.975578,54.210837,2000-06-30,35,660.000,660.000,888
SEE921980944712,01055036,Ostholstein,Riepsdorf,10.959635,54.211816,2000-06-22,35,660.000,660.000,888
SEE946137284763,01055036,Ostholstein,Riepsdorf,10.962553,54.209984,2000-06-22,35,660.000,660.000,888
SEE955275455850,01055036,Ostholstein,Riepsdorf,10.967681,54.209582,2000-06-22,35,660.000,660.000,888
SEE965612305083,01055046,Ostholstein,Fehmarn,11.100788,54.489577,2006-10-18,35,2300.000,2300.000,888
SEE939244578108,01055046,Ostholstein,Fehmarn,11.102324,54.487100,2006-10-19,35,2300.000,2300.000,888
SEE932173753615,01055046,Ostholstein,Fehmarn,11.106485,54.485945,2006-10-19,35,2300.000,2300.000,888
SEE980593379632,01055046,Ostholstein,Fehmarn,11.106146,54.480247,2006-10-13,35,2300.000,2300.000,888
SEE994466583514,01055046,Ostholstein,Fehmarn,11.109606,54.479374,2006-10-12,35,2300.000,2300.000,888
SEE986763358575,01055046,Ostholstein,Fehmarn,11.109255,54.477053,2006-10-11,35,2300.000,2300.000,888
SEE958665984244,01055046,Ostholstein,Fehmarn,11.107397,54.490821,2006-10-06,35,2300.000,2300.000,888
SEE956453830889,01055046,Ostholstein,Fehmarn,11.108900,54.487697,2006-09-29,35,2300.000,2300.000,888
SEE917396624430,01055046,Ostholstein,Fehmarn,11.108110,54.483385,2006-10-08,35,2300.000,2300.000,888
SEE900693366332,01055046,Ostholstein,Fehmarn,11.113163,54.482508,2006-10-04,35,2300.000,2300.000,888
SEE981427325085,01055046,Ostholstein,Fehmarn,11.113230,54.480146,2006-10-04,35,2300.000,2300.000,888
SEE939630426662,01055046,Ostholstein,Fehmarn,11.114625,54.476967,2006-10-26,35,2300.000,2300.000,888
SEE984129721315,01055046,Ostholstein,Fehmarn,11.114411,54.491169,2006-09-27,35,2300.000,2300.000,888
SEE954280444170,01055046,Ostholstein,Fehmarn,11.115589,54.488797,2006-09-27,35,2300.000,2300.000,888
SEE914508745694,01055046,Ostholstein,Fehmarn,11.110970,54.489733,2006-11-23,35,2300.000,2300.000,888
SEE953360256689,01055046,Ostholstein,Fehmarn,11.117776,54.483979,2006-09-27,35,2300.000,2300.000,888
SEE970117371174,01055046,Ostholstein,Fehmarn,11.119377,54.480577,2006-09-23,35,2300.000,2300.000,888
SEE920618190866,01055046,Ostholstein,Fehmarn,11.120703,54.478458,2006-09-27,35,2300.000,2300.000,888
SEE969876050062,01055046,Ostholstein,Fehmarn,11.121536,54.476272,2006-09-28,35,2300.000,2300.000,888
SEE985376904216,01055046,Ostholstein,Fehmarn,11.098731,54.487675,2006-08-11,35,2300.000,2300.000,888
SEE945853682280,01055046,Ostholstein,Fehmarn,11.099874,54.484836,2006-08-04,35,2300.000,2300.000,888
SEE949197406335,01055046,Ostholstein,Fehmarn,11.103312,54.482130,2006-08-30,35,2300.000,2300.000,888
SEE965725392246,01055046,Ostholstein,Fehmarn,11.095958,54.489656,2006-08-31,35,2300.000,2300.000,888
SEE975399243621,01055046,Ostholstein,Fehmarn,11.117837,54.474699,2006-08-11,35,2300.000,2300.000,888
SEE913818934996,01051047,Dithmarschen,Hemme,8.955812,54.264385,2014-05-22,35,2300.000,2300.000,888
SEE928150861541,01051047,Dithmarschen,Hemme,8.953315,54.265011,2014-06-20,35,2300.000,2300.000,888
SEE909241247802,01051047,Dithmarschen,Hemme,8.958456,54.265603,2014-06-20,35,2300.000,2300.000,888
SEE987619263197,01051047,Dithmarschen,Hemme,8.955989,54.262705,2014-05-23,35,2300.000,2300.000,888
